first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
rejaun,rejaun,pr,p,,jaun,re,,rejaun,target,p,0.0,1,e,é,réjaun,0
érpertoidnoile,érpertoidnoile,pprss,pp,ss,toid,érp_er,noi_le,érpertoidnoile,control,r,,1,o,e,érperteidnoile,0
préreinfil,préreinfil,pppr,ppp,,fil,pré_re_in,,préreinfil,target,p,1.0,0,r,l,préleinfil,0
préretuélent,créretuélent,pprs,pp,s,tuél,pré_re,ent,préretuélent,target,p,0.0,0,p,c,créretuélent,1
reindémièrionelité,reindémièrionerité,ppprsss,ppp,sss,mièr,re_in_dé,ion_el_ité,reindémièrionelité,target,s,1.0,1,l,r,reindémièrionerité,1
troctnem,troctnej,rs,,s,troc,,tnem,troctnem,control,s,0.0,3,m,j,troctnej,1
troctnem,troctnem,rs,,s,troc,,tnem,troctnem,control,s,0.0,2,e,a,troctnam,0
reindécertel,reindécentel,ppprs,ppp,s,cert,re_in_dé,el,reindécertel,target,r,,2,r,n,reindécentel,1
insurcrusionelment,insurcrusionelment,pprsss,pp,sss,crus,in_sur,ion_el_ment,insurcrusionelment,target,s,1.0,1,l,n,insurcrusionenment,0
prédélakique,prédelakique,pprs,pp,s,lak,pré_dé,ique,prédélakique,target,p,1.0,1,é,e,prédelakique,1
rusneluopnoiletnem,rusneluopnoiletnem,pprsss,pp,sss,luop,rus_ne,noi_le_tnem,rusneluopnoiletnem,control,r,,3,p,b,rusneluobnoiletnem,0
préreincomant,préreincomont,ppprs,ppp,s,com,pré_re_in,ant,préreincomant,target,s,0.0,0,a,o,préreincomont,1
tartmentaire,tartmentaure,rss,,ss,tart,,ment_aire,tartmentaire,target,s,1.0,1,i,u,tartmentaure,1
melk,mulk,r,,,melk,,,melk,control,r,,1,e,u,mulk,1
érpédmiereuqi,érpadmiereuqi,pprs,pp,s,mier,érp_éd,euqi,érpédmiereuqi,control,p,1.0,0,é,a,érpadmiereuqi,1
tuél,tuàl,r,,,tuél,,,tuél,target,r,,2,é,à,tuàl,1
érpsédnitiamnoileemsi,érpsédnitiamnoileemsi,ppprsss,ppp,sss,tiam,érp_séd_ni,noi_le_emsi,érpsédnitiamnoileemsi,control,s,2.0,3,i,a,érpsédnitiamnoileemsa,0
