first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
unwismental,unwitmental,prss,wis,un,ment_al,unwismental,target,r,,2,s,t,unwitmental,1
dismeerful,dismeerful,prs,meer,dis,ful,dismeerful,target,s,0.0,1,u,o,dismeerfol,0
trig,trig,r,trig,,,trig,control,r,,1,r,m,tmig,0
trupationally,trupationarly,rssss,trup,,at_ion_al_ly,trupationally,target,s,2.0,1,l,r,trupationarly,1
midobcilbatiy,midobcilbatiy,prsss,dob,mi,ci_lba_tiy,midobcilbatiy,control,s,0.0,1,i,e,midobcelbatiy,0
nonglocal,nonglocal,prs,gloc,non,al,nonglocal,target,s,0.0,0,a,e,nonglocel,0
reinmorable,reinmorable,pprs,mor,re_in,able,reinmorable,target,s,0.0,2,l,n,reinmorabne,0
romci,romci,rs,rom,,ci,romci,control,r,,2,m,l,rolci,0
drunality,drunality,rss,drun,,al_ity,drunality,target,r,,2,u,a,dranality,0
cunally,cunally,rss,cun,,al_ly,cunally,target,r,,0,c,t,tunally,0
pookationalist,dookationalist,rssss,pook,,at_ion_al_ist,pookationalist,target,r,,0,p,d,dookationalist,1
xekoop,xekiop,pr,koop,xe,,xekoop,control,r,,1,o,i,xekiop,1
decunationalism,decunatiomalism,prssss,cun,de,at_ion_al_ism,decunationalism,target,s,1.0,2,n,m,decunatiomalism,1
unbodly,unbodwy,prs,bod,un,ly,unbodly,target,s,0.0,0,l,w,unbodwy,1
edtriglazitanoi,edtrigmazitanoi,prssss,trig,ed,la_zi_ta_noi,edtriglazitanoi,control,s,0.0,0,l,m,edtrigmazitanoi,1
erptrigeviyl,erptrigeviyl,prss,trig,erp,evi_yl,erptrigeviyl,control,s,0.0,1,v,p,erptrigepiyl,0
retindob,retondob,pr,dob,retin,,retindob,control,p,0.0,3,i,o,retondob,1
reemcilayl,reemcilayl,rsss,reem,,ci_la_yl,reemcilayl,control,r,,2,e,a,reamcilayl,0
