first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nisiwlufylssen,nisewlufylssen,prsss,p,sss,siw,ni,luf_yl_ssen,nisiwlufylssen,control,r,,1,i,e,nisewlufylssen,1
redeyorally,redeyorally,pprss,pp,ss,yor,re_de,al_ly,redeyorally,target,s,1.0,1,y,w,redeyorallw,0
rediskrew,rediskrew,ppr,pp,,krew,re_dis,,rediskrew,target,p,0.0,0,r,m,mediskrew,0
redisrienlyness,redismienlyness,pprss,pp,ss,rien,re_dis,ly_ness,redisrienlyness,target,r,,0,r,m,redismienlyness,1
reincarpically,reincarpically,pprsss,pp,sss,carp,re_in,ic_al_ly,reincarpically,target,s,1.0,1,l,w,reincarpicawly,0
inkealation,inkealation,prs,p,s,keal,in,ation,inkealation,target,p,0.0,1,n,w,iwkealation,0
ersidnaetnoita,ersidnaetnoita,pprs,pp,s,naet,er_sid,noita,ersidnaetnoita,control,r,,2,e,o,ersidnaotnoita,0
rebod,resod,pr,p,,bod,re,,rebod,target,r,,0,b,s,resod,1
nitrig,nitrid,pr,p,,trig,ni,,nitrig,control,r,,3,g,d,nitrid,1
inyorlyness,anyorlyness,prss,p,ss,yor,in,ly_ness,inyorlyness,target,p,0.0,0,i,a,anyorlyness,1
erpedpurttnemla,orpedpurttnemla,pprss,pp,ss,purt,erp_ed,tnem_la,erpedpurttnemla,control,p,0.0,0,e,o,orpedpurttnemla,1
krew,krew,r,,,krew,,,krew,target,r,,0,k,c,crew,0
indrunmental,indrunmentam,prss,p,ss,drun,in,ment_al,indrunmental,target,s,1.0,1,l,m,indrunmentam,1
inkrewiously,infrewiously,prss,p,ss,krew,in,ious_ly,inkrewiously,target,r,,0,k,f,infrewiously,1
reintaun,reintoun,ppr,pp,,taun,re_in,,reintaun,target,r,,1,a,o,reintoun,1
werketa,werpeta,rs,,s,werk,,eta,werketa,control,r,,3,k,p,werpeta,1
redispook,redispook,ppr,pp,,pook,re_dis,,redispook,target,r,,3,k,h,redispooh,0
drun,drun,r,,,drun,,,drun,target,r,,0,d,t,trun,0
nutek,nuhek,pr,p,,tek,nu,,nutek,control,r,,0,t,h,nuhek,1
reoutfomal,reoutfomal,pprs,pp,s,fom,re_out,al,reoutfomal,target,s,0.0,0,a,e,reoutfomel,0
uninrienmental,uninrienmenfal,pprss,pp,ss,rien,un_in,ment_al,uninrienmental,target,s,0.0,3,t,f,uninrienmenfal,1
ninaetnoita,ninaetnoita,prs,p,s,naet,ni,noita,ninaetnoita,control,r,,2,e,a,ninaatnoita,0
intaun,ontaun,pr,p,,taun,in,,intaun,target,p,0.0,0,i,o,ontaun,1
